"Distance [mm]","Bz []"
10.2046656,-0.688815838048939
10.2604288,-0.685900373256519
10.316192,-0.682903187655401
10.3719552,-0.67986200002953
10.4277184,-0.676797833098288
10.4834816,-0.673791954982936
10.5392448,-0.670865280405295
10.595008,-0.667670368470574
10.6507712,-0.663570687843999
10.7065344,-0.659395794624878
10.7622976,-0.655117291339643
10.8180608,-0.65079426767272
10.873824,-0.645719419541527
10.9295872,-0.640319466334372
10.9853504,-0.634746123650989
11.0411136,-0.628999266710875
11.0968768,-0.623253978394086
11.15264,-0.617454528351149
11.2084032,-0.610946252581585
11.2641664,-0.604397610843026
11.3199296,-0.597808411894172
11.3756928,-0.590881402049851
11.431456,-0.582925898706769
11.4872192,-0.574111226800897
11.5429824,-0.564928204235678
11.5987456,-0.555852016849495
11.6545088,-0.546882230861375
11.710272,-0.538018411678868
11.7660352,-0.526983670662021
11.8217984,-0.515691978032636
11.8775616,-0.504055511980829
11.9333248,-0.492154807261961
11.989088,-0.480049134379041
12.0448512,-0.467738492236678
12.1006144,-0.455222882677516
12.1563776,-0.442502310482504
12.2121408,-0.429576783371151
12.267904,-0.416446312001731
12.3236672,-0.402496145015953
12.3794304,-0.387619587240263
12.4351936,-0.372751331358313
12.4909568,-0.35788858129873
12.54672,-0.343031436201074
12.6024832,-0.328179995508794
12.6582464,-0.31333435896836
12.7140096,-0.298494626628402
12.7697728,-0.283660898838826
12.825536,-0.268664505203654
12.8812992,-0.253663563961145
12.9370624,-0.238899298481673
12.9928256,-0.224244817975724
13.0485888,-0.209632404447853
13.104352,-0.195062053943532
13.1601152,-0.180533761934801
13.2158784,-0.166837171424443
13.2716416,-0.153340713102955
13.3274048,-0.13996073859085
13.383168,-0.126697268307791
13.4389312,-0.113550321333389
13.4946944,-0.100519915407283
13.5504576,-0.0876060669292499
13.6062208,-0.0748087909593134
13.661984,-0.0622050252814296
13.7177472,-0.0497806209281692
13.7735104,-0.0372726652072833
13.8292736,-0.0247280360436194
13.8850368,-0.0121467261158901
13.9408,0.000471271047740902
13.9965632,0.0131259610692613
14.0523264,0.0258173487204425
14.1080896,0.0383165739301756
14.1638528,0.0507325513373532
14.219616,0.0632025264155527
14.2753792,0.0757266137526537
14.3311424,0.0883049270667453
14.3869056,0.100937579204421
14.4426688,0.113638620058106
14.498432,0.127075215812565
14.5541952,0.140640392228253
14.6099584,0.154333990909664
14.6657216,0.168155852213308
14.7214848,0.182105815249352
14.777248,0.196097388551121
14.8330112,0.210363726799534
14.8887744,0.22497144325319
14.9445376,0.239599972798175
15.0003008,0.254249198310859
15.056064,0.268886721102206
15.1118272,0.283532319401941
15.1675904,0.298193246517972
15.2233536,0.312938246595231
15.2791168,0.327902194685494
15.33488,0.342781835129229
15.3906432,0.357626853982991
15.4464064,0.372436914954786
15.5021696,0.387211682381667
15.5579328,0.401950821233519
15.613696,0.416195880651366
15.6694592,0.429643211938081
15.7252224,0.442994000962916
15.7809856,0.456248067936988
15.8367488,0.469241622824824
15.892512,0.48176852733622
15.9482752,0.493264920369474
16.0040384,0.503986755876041
16.0598016,0.514649422526183
16.1155648,0.525252678414262
16.171328,0.535796281674259
16.2270912,0.546279990482495
16.2828544,0.556261440114029
16.3386176,0.565531561883785
16.3943808,0.574589141549902
16.450144,0.582677358153695
16.5059072,0.590489974093653
16.5616704,0.598420998596023
16.6174336,0.605356474739735
16.6731968,0.61178995187552
16.72896,0.617743357547448
16.7847232,0.623657183773674
16.8404864,0.629516127024156
16.8962496,0.63533280489951
16.9520128,0.640569267717433
17.007776,0.64498546538263
17.0635392,0.649168027135708
17.1193024,0.653116960674177
17.1750656,0.656832275725592
17.2308288,0.660324750632179
17.286592,0.664412255305122
17.3423552,0.668730497204472
17.3981184,0.672865302062726
17.4538816,0.676816310952194
17.5096448,0.680521674538065
17.565408,0.683637209609309
17.6211712,0.686701682906456
17.6769344,0.689715174810331
17.7326976,0.692319204484098
17.7884608,0.694524131877913
17.844224,0.696691962550764
17.8999872,0.698822633047183
17.9557504,0.70091608056198
18.0115136,0.702972242940964
18.0672768,0.704972700456572
18.12304,0.706901683912625
18.1788032,0.708665874968369
18.2345664,0.710401578345807
18.2903296,0.712115206578886
18.3460928,0.713689472847955
18.401856,0.715073884947201
18.4576192,0.716421884151631
18.5133824,0.717476351873546
18.5691456,0.718533022579705
18.6249088,0.719591834726881
18.680672,0.720652726769528
